Country,Shipment_Mode,Qauntity_of_pack,Pack_Price,Weight_Kg,Freight_Cost_USD,Product_Insurance_USD
Mozambique,Truck,30,9.72,1404,1588.05,160.75
Rwanda,Air,1,24.5,2820,37130.88,106.54
Côte dIvoire,Air,240,15.0,125,1328.03,10.35
Ethiopia,Air,1,23.0,5056,44360.44,315.47
Nigeria,Air Charter,30,10.0,4161,11637.64,980.78
Nigeria,Air Charter,60,2.26,4844,21591.1,159.98
Namibia,Air,25,75.0,3,963.34,0.44
Rwanda,Air,60,9.1,1698,16414.22,331.04
Kenya,Air,20,32.0,4956,36219.03,672.96
Uganda,Air,60,7.12,322,3017.15,60.57
Nigeria,Air Charter,60,11.22,4212,6147.18,775.06
Rwanda,Air,30,5.69,55,393.29,6.13
Nigeria,Air Charter,60,11.22,3570,6147.18,698.33
Burundi,Air,60,7.0,741,3810.39,53.17
"Congo, DRC",Air,60,11.23,1630,18387.8,8.25
Tanzania,Truck,120,33.6,932,1698.83,203.96
Mozambique,Air,100,80.0,829,8680.27,181.29
South Sudan,Air,100,89.0,285,4350.03,63.5
South Africa,Ocean,60,8.42,2303,3790.0,347.32
Rwanda,Air,60,9.1,719,853.88,139.83
Nigeria,Air Charter,30,4.32,4915,13398.06,409.63
Côte dIvoire,Air,60,7.53,396,6087.84,103.31
Côte dIvoire,Air,120,36.16,5089,31318.31,1209.99
Rwanda,Air,60,3.75,98,993.2,8.47
Haiti,Air,180,50.0,101,6036.98,48.51
Tanzania,Truck,120,20.22,3547,6052.1,429.38
Namibia,Air,100,77.7,35,840.46,16.34
Uganda,Truck,100,1.3,8998,5458.45,72.82
Côte dIvoire,Air,20,29.0,1056,12363.35,149.54
Haiti,Air,60,10.28,31,910.86,2.96
Nigeria,Air Charter,90,27.5,142,9736.1,50.63
Côte dIvoire,Truck,100,1.3,750,3138.81,6.43
Zambia,Air,30,12.42,1974,7836.6,503.52
Côte dIvoire,Truck,60,1.32,360,3274.41,3.29
Swaziland,Air,20,32.0,429,4726.15,67.06
Zambia,Truck,60,9.45,6986,6269.7,399.2
Côte dIvoire,Air,240,1.92,344,1729.0,2.96
South Africa,Air,30,4.67,2892,6105.79,342.77
Mozambique,Truck,60,1.4,36,843.36,0.97
Zimbabwe,Air,300,30.82,2583,20559.39,95.22
Uganda,Truck,60,8.26,1409,10928.52,205.89
Nigeria,Air,1000,26.35,1920,20134.43,0.84
South Africa,Ocean,30,4.51,1552,18114.34,172.12
Zambia,Truck,60,7.71,551,2448.71,146.58
Nigeria,Air,120,41.1,937,10990.36,163.85
Ethiopia,Air,240,2.15,807,2511.67,6.63
Kenya,Air,100,80.0,2215,17662.98,1176.0
Mozambique,Truck,60,11.22,16015,12239.88,2905.23
Nigeria,Air Charter,60,11.4,361,7329.83,71.28
Uganda,Truck,30,5.35,350,1854.0,51.91
Côte dIvoire,Truck,30,4.64,8889,33073.6,47.7
Zimbabwe,Truck,60,3.95,1153,1489.8,113.08
South Africa,Ocean,30,6.65,7228,8809.08,850.07
Tanzania,Air,100,80.0,639,12022.17,149.96
Zimbabwe,Truck,60,2.44,8433,15219.71,67.93
Haiti,Air,100,72.0,6,2219.44,1.15
Ethiopia,Air,20,32.0,10,490.23,1.21
Tanzania,Air,60,2.6,3396,16416.58,161.44
Zimbabwe,Air,300,30.82,3287,26515.21,120.21
Nigeria,Air Charter,60,8.58,22700,20225.07,796.01
Nigeria,Air,100,89.0,6010,30132.32,549.87
Nigeria,Air Charter,60,8.58,5041,20666.08,330.42
Nigeria,Air Charter,60,3.75,8039,30936.1,786.02
Haiti,Air,60,7.0,226,1962.1,9.01
Guyana,Air,240,1.45,552,7317.96,0.18
Côte dIvoire,Air,40,110.0,1101,8074.03,215.6
Côte dIvoire,Air,300,30.82,844,9768.22,23.6
Tanzania,Air,25,20.0,3335,23650.43,330.0
